Coffee type,Trend (slope),R²
Arabica,10353396.539933257,0.9851552503445418
Arabica/Robusta,35000730.70077863,0.987562099115296
Robusta,1623383.0255839815,0.6538650294194535
Robusta/Arabica,24662081.753058948,0.9234052484945975
