Country,Coffee type,Total_Consumption,Valid_Years_Count,Mean,Median,P25,P75,Variance,Std_Dev,Year_Max_Consumption,Year_Min_Consumption
Tanzania,Arabica/Robusta,76425060,30,2547502.0,2520000.0,1002000.0,4110750.0,3325549042795.8613,1823608.7965339115,2019,1991
Thailand,Robusta/Arabica,1248600000,30,41620000.0,30000000.0,25260000.0,67350000.0,617328579310344.8,24846097.868887678,2018,1990
Timor-Leste,Arabica,294000,10,29400.0,29400.0,29400.0,29400.0,0.0,0.0,2010,2010
Togo,Robusta,2167620,30,72254.0,60000.0,15330.0,120000.0,2110536417.9310346,45940.57485416388,1998,2014
Trinidad & Tobago,Robusta,21090000,30,703000.0,660000.0,600000.0,840000.0,14132068965.517237,118878.37888159999,1994,1990
Uganda,Robusta/Arabica,284816400,30,9493880.0,8760000.0,6293550.0,12870000.0,13968849494068.965,3737492.407225594,2019,1990
Venezuela,Arabica,2386067999,30,79535599.96666667,82142100.0,63400049.25,98988900.0,344195445426137.94,18552505.09839946,2009,1990
Viet Nam,Robusta/Arabica,1920928320,30,64030944.0,44890680.0,19105395.0,106875000.0,2663148582518797.0,51605703.0038231,2019,1990
Yemen,Arabica,121620000,17,7154117.647058823,7800000.0,6900000.0,7800000.0,2200738235294.1177,1483488.5356126342,2003,2019
Zambia,Arabica,991920,19,52206.31578947369,36000.0,36000.0,60000.0,475208757.8947368,21799.28342617566,1990,1995
Zimbabwe,Arabica,8595960,30,286532.0,240000.0,240000.0,240000.0,9219254830.344822,96016.95074488057,1993,1996
